cluster_id,date,month,day_of_week,hour,violation_count,center_lat,center_lon
11,2023-11-11,11,5,6,4,12.841837722053313,77.64605002339766
11,2023-11-11,11,5,7,1,12.841837722053313,77.64605002339766
11,2023-11-12,11,6,5,4,12.841837722053313,77.64605002339766
11,2023-11-12,11,6,6,16,12.841837722053313,77.64605002339766
11,2023-11-13,11,0,4,3,12.841837722053313,77.64605002339766
11,2023-11-13,11,0,5,4,12.841837722053313,77.64605002339766
11,2023-11-13,11,0,6,11,12.841837722053313,77.64605002339766
11,2023-11-13,11,0,7,32,12.841837722053313,77.64605002339766
11,2023-11-13,11,0,8,25,12.841837722053313,77.64605002339766
11,2023-11-14,11,1,0,3,12.841837722053313,77.64605002339766
11,2023-11-14,11,1,5,2,12.841837722053313,77.64605002339766
11,2023-11-14,11,1,6,6,12.841837722053313,77.64605002339766
11,2023-11-14,11,1,7,1,12.841837722053313,77.64605002339766
11,2023-11-15,11,2,3,2,12.841837722053313,77.64605002339766
11,2023-11-15,11,2,7,9,12.841837722053313,77.64605002339766
11,2023-11-15,11,2,20,1,12.841837722053313,77.64605002339766
11,2023-11-15,11,2,21,1,12.841837722053313,77.64605002339766
11,2023-11-15,11,2,23,1,12.841837722053313,77.64605002339766
11,2023-11-16,11,3,7,2,12.841837722053313,77.64605002339766
11,2023-11-16,11,3,8,4,12.841837722053313,77.64605002339766
11,2023-11-16,11,3,20,2,12.841837722053313,77.64605002339766
11,2023-11-16,11,3,22,1,12.841837722053313,77.64605002339766
11,2023-11-17,11,4,3,1,12.841837722053313,77.64605002339766
11,2023-11-17,11,4,6,11,12.841837722053313,77.64605002339766
11,2023-11-17,11,4,7,5,12.841837722053313,77.64605002339766
11,2023-11-18,11,5,7,19,12.841837722053313,77.64605002339766
11,2023-11-18,11,5,8,7,12.841837722053313,77.64605002339766
11,2023-11-18,11,5,23,1,12.841837722053313,77.64605002339766
11,2023-11-19,11,6,0,1,12.841837722053313,77.64605002339766
11,2023-11-19,11,6,1,3,12.841837722053313,77.64605002339766
11,2023-11-19,11,6,4,4,12.841837722053313,77.64605002339766
11,2023-11-19,11,6,5,1,12.841837722053313,77.64605002339766
11,2023-11-19,11,6,7,2,12.841837722053313,77.64605002339766
11,2023-11-19,11,6,8,6,12.841837722053313,77.64605002339766
11,2023-11-20,11,0,8,2,12.841837722053313,77.64605002339766
11,2023-11-20,11,0,21,1,12.841837722053313,77.64605002339766
11,2023-11-21,11,1,6,9,12.841837722053313,77.64605002339766
11,2023-11-22,11,2,7,6,12.841837722053313,77.64605002339766
11,2023-11-25,11,5,6,2,12.841837722053313,77.64605002339766
11,2023-11-25,11,5,7,8,12.841837722053313,77.64605002339766
11,2023-11-26,11,6,0,3,12.841837722053313,77.64605002339766
11,2023-11-26,11,6,1,15,12.841837722053313,77.64605002339766
11,2023-11-26,11,6,3,7,12.841837722053313,77.64605002339766
11,2023-11-26,11,6,4,1,12.841837722053313,77.64605002339766
11,2023-11-26,11,6,8,3,12.841837722053313,77.64605002339766
11,2023-11-26,11,6,9,4,12.841837722053313,77.64605002339766
11,2023-11-27,11,0,7,19,12.841837722053313,77.64605002339766
11,2023-11-28,11,1,1,1,12.841837722053313,77.64605002339766
11,2023-11-28,11,1,3,3,12.841837722053313,77.64605002339766
11,2023-11-28,11,1,6,6,12.841837722053313,77.64605002339766
11,2023-11-28,11,1,8,11,12.841837722053313,77.64605002339766
11,2023-11-29,11,2,6,1,12.841837722053313,77.64605002339766
11,2023-11-29,11,2,7,12,12.841837722053313,77.64605002339766
11,2023-11-29,11,2,8,4,12.841837722053313,77.64605002339766
11,2023-11-29,11,2,21,3,12.841837722053313,77.64605002339766
11,2023-11-30,11,3,1,11,12.841837722053313,77.64605002339766
11,2023-11-30,11,3,23,1,12.841837722053313,77.64605002339766
11,2023-12-01,12,4,6,2,12.841837722053313,77.64605002339766
11,2023-12-01,12,4,7,1,12.841837722053313,77.64605002339766
11,2023-12-02,12,5,7,5,12.841837722053313,77.64605002339766
11,2023-12-02,12,5,23,1,12.841837722053313,77.64605002339766
11,2023-12-03,12,6,2,1,12.841837722053313,77.64605002339766
11,2023-12-03,12,6,4,10,12.841837722053313,77.64605002339766
11,2023-12-05,12,1,20,1,12.841837722053313,77.64605002339766
11,2023-12-06,12,2,6,3,12.841837722053313,77.64605002339766
11,2023-12-08,12,4,5,1,12.841837722053313,77.64605002339766
11,2023-12-09,12,5,20,1,12.841837722053313,77.64605002339766
11,2023-12-09,12,5,21,3,12.841837722053313,77.64605002339766
11,2023-12-09,12,5,23,1,12.841837722053313,77.64605002339766
11,2023-12-10,12,6,0,7,12.841837722053313,77.64605002339766
11,2023-12-10,12,6,3,1,12.841837722053313,77.64605002339766
11,2023-12-10,12,6,5,1,12.841837722053313,77.64605002339766
11,2023-12-10,12,6,7,3,12.841837722053313,77.64605002339766
11,2023-12-11,12,0,4,3,12.841837722053313,77.64605002339766
11,2023-12-11,12,0,7,1,12.841837722053313,77.64605002339766
11,2023-12-12,12,1,3,1,12.841837722053313,77.64605002339766
11,2023-12-13,12,2,0,1,12.841837722053313,77.64605002339766
11,2023-12-13,12,2,3,1,12.841837722053313,77.64605002339766
11,2023-12-13,12,2,6,9,12.841837722053313,77.64605002339766
11,2023-12-13,12,2,7,2,12.841837722053313,77.64605002339766
11,2023-12-13,12,2,9,1,12.841837722053313,77.64605002339766
11,2023-12-14,12,3,2,1,12.841837722053313,77.64605002339766
11,2023-12-14,12,3,3,1,12.841837722053313,77.64605002339766
11,2023-12-14,12,3,9,1,12.841837722053313,77.64605002339766
11,2023-12-15,12,4,6,1,12.841837722053313,77.64605002339766
11,2023-12-15,12,4,23,3,12.841837722053313,77.64605002339766
11,2023-12-16,12,5,7,4,12.841837722053313,77.64605002339766
11,2023-12-16,12,5,22,2,12.841837722053313,77.64605002339766
11,2023-12-17,12,6,6,10,12.841837722053313,77.64605002339766
11,2023-12-17,12,6,7,14,12.841837722053313,77.64605002339766
11,2023-12-17,12,6,8,4,12.841837722053313,77.64605002339766
11,2023-12-17,12,6,9,2,12.841837722053313,77.64605002339766
11,2023-12-18,12,0,8,3,12.841837722053313,77.64605002339766
11,2023-12-18,12,0,21,4,12.841837722053313,77.64605002339766
11,2023-12-19,12,1,1,7,12.841837722053313,77.64605002339766
11,2023-12-19,12,1,6,4,12.841837722053313,77.64605002339766
11,2023-12-19,12,1,7,24,12.841837722053313,77.64605002339766
11,2023-12-19,12,1,8,1,12.841837722053313,77.64605002339766
11,2023-12-20,12,2,7,7,12.841837722053313,77.64605002339766
11,2023-12-20,12,2,8,3,12.841837722053313,77.64605002339766
11,2023-12-20,12,2,21,4,12.841837722053313,77.64605002339766
11,2023-12-20,12,2,22,1,12.841837722053313,77.64605002339766
11,2023-12-20,12,2,23,2,12.841837722053313,77.64605002339766
11,2023-12-21,12,3,0,1,12.841837722053313,77.64605002339766
11,2023-12-22,12,4,1,1,12.841837722053313,77.64605002339766
11,2023-12-22,12,4,5,2,12.841837722053313,77.64605002339766
11,2023-12-22,12,4,20,1,12.841837722053313,77.64605002339766
11,2023-12-23,12,5,0,6,12.841837722053313,77.64605002339766
11,2023-12-23,12,5,8,1,12.841837722053313,77.64605002339766
11,2023-12-23,12,5,22,3,12.841837722053313,77.64605002339766
11,2023-12-23,12,5,23,1,12.841837722053313,77.64605002339766
11,2023-12-24,12,6,0,6,12.841837722053313,77.64605002339766
11,2023-12-24,12,6,1,5,12.841837722053313,77.64605002339766
11,2023-12-24,12,6,5,5,12.841837722053313,77.64605002339766
11,2023-12-26,12,1,7,5,12.841837722053313,77.64605002339766
11,2023-12-27,12,2,6,5,12.841837722053313,77.64605002339766
11,2023-12-27,12,2,7,3,12.841837722053313,77.64605002339766
11,2023-12-28,12,3,1,2,12.841837722053313,77.64605002339766
11,2023-12-28,12,3,5,6,12.841837722053313,77.64605002339766
11,2023-12-28,12,3,6,7,12.841837722053313,77.64605002339766
11,2023-12-29,12,4,8,1,12.841837722053313,77.64605002339766
11,2023-12-29,12,4,22,5,12.841837722053313,77.64605002339766
11,2023-12-30,12,5,23,17,12.841837722053313,77.64605002339766
11,2023-12-31,12,6,0,1,12.841837722053313,77.64605002339766
11,2023-12-31,12,6,1,1,12.841837722053313,77.64605002339766
11,2023-12-31,12,6,4,3,12.841837722053313,77.64605002339766
11,2023-12-31,12,6,6,4,12.841837722053313,77.64605002339766
11,2023-12-31,12,6,7,27,12.841837722053313,77.64605002339766
11,2024-01-03,1,2,8,2,12.841837722053313,77.64605002339766
11,2024-01-03,1,2,23,1,12.841837722053313,77.64605002339766
11,2024-01-04,1,3,7,4,12.841837722053313,77.64605002339766
11,2024-01-05,1,4,5,1,12.841837722053313,77.64605002339766
11,2024-01-06,1,5,7,1,12.841837722053313,77.64605002339766
11,2024-01-06,1,5,23,1,12.841837722053313,77.64605002339766
11,2024-01-07,1,6,0,1,12.841837722053313,77.64605002339766
11,2024-01-07,1,6,2,1,12.841837722053313,77.64605002339766
11,2024-01-07,1,6,6,1,12.841837722053313,77.64605002339766
11,2024-01-07,1,6,7,8,12.841837722053313,77.64605002339766
11,2024-01-07,1,6,8,27,12.841837722053313,77.64605002339766
11,2024-01-08,1,0,4,1,12.841837722053313,77.64605002339766
11,2024-01-09,1,1,2,5,12.841837722053313,77.64605002339766
11,2024-01-10,1,2,7,2,12.841837722053313,77.64605002339766
11,2024-01-10,1,2,8,1,12.841837722053313,77.64605002339766
11,2024-01-11,1,3,7,1,12.841837722053313,77.64605002339766
11,2024-01-12,1,4,7,4,12.841837722053313,77.64605002339766
11,2024-01-12,1,4,21,1,12.841837722053313,77.64605002339766
11,2024-01-13,1,5,23,3,12.841837722053313,77.64605002339766
11,2024-01-14,1,6,4,3,12.841837722053313,77.64605002339766
11,2024-01-14,1,6,5,7,12.841837722053313,77.64605002339766
11,2024-01-15,1,0,22,1,12.841837722053313,77.64605002339766
11,2024-01-16,1,1,0,1,12.841837722053313,77.64605002339766
11,2024-01-16,1,1,5,7,12.841837722053313,77.64605002339766
11,2024-01-16,1,1,7,5,12.841837722053313,77.64605002339766
11,2024-01-16,1,1,8,5,12.841837722053313,77.64605002339766
11,2024-01-16,1,1,20,4,12.841837722053313,77.64605002339766
11,2024-01-16,1,1,21,7,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,2,1,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,3,1,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,8,1,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,20,6,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,21,7,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,22,4,12.841837722053313,77.64605002339766
11,2024-01-18,1,3,23,4,12.841837722053313,77.64605002339766
11,2024-01-19,1,4,0,2,12.841837722053313,77.64605002339766
11,2024-01-19,1,4,3,1,12.841837722053313,77.64605002339766
11,2024-01-19,1,4,5,5,12.841837722053313,77.64605002339766
11,2024-01-20,1,5,1,1,12.841837722053313,77.64605002339766
